timestamp,flavor,count
2026-01-20 21:55:55,1pct,0
2026-01-20 21:55:55,2pct,0
2026-01-20 21:56:00,whole,0
2026-01-20 21:56:00,1pct,0
2026-01-20 21:56:00,2pct,0
2026-01-20 21:56:05,whole,0
2026-01-20 21:56:05,1pct,0
2026-01-20 21:56:05,2pct,0
2026-01-20 21:56:10,whole,0
2026-01-20 21:56:10,1pct,0
2026-01-20 21:56:10,2pct,0
2026-01-20 21:56:15,whole,0
2026-01-20 21:56:15,1pct,0
2026-01-20 21:56:15,2pct,0
2026-01-20 21:56:20,whole,0
2026-01-20 21:56:20,1pct,0
2026-01-20 21:56:20,2pct,0
2026-01-20 21:56:25,whole,0
2026-01-20 21:56:25,1pct,0
2026-01-20 21:56:25,2pct,0
2026-01-20 21:56:30,whole,0
2026-01-20 21:56:30,1pct,0
2026-01-20 21:56:30,2pct,0
2026-01-20 21:58:17,whole,0
2026-01-20 21:58:17,1pct,0
2026-01-20 21:58:17,2pct,0
2026-01-20 21:58:22,whole,0
2026-01-20 21:58:22,1pct,0
2026-01-20 21:58:22,2pct,0
2026-01-20 21:58:27,whole,0
2026-01-20 21:58:27,1pct,0
2026-01-20 21:58:27,2pct,0
2026-01-20 21:58:32,whole,0
2026-01-20 21:58:32,1pct,0
2026-01-20 21:58:32,2pct,0
2026-01-20 21:58:37,whole,0
2026-01-20 21:58:37,1pct,0
2026-01-20 21:58:37,2pct,0
2026-01-20 21:58:42,whole,0
2026-01-20 21:58:42,1pct,0
2026-01-20 21:58:42,2pct,0
2026-01-20 21:58:47,whole,0
2026-01-20 21:58:47,1pct,0
2026-01-20 21:58:47,2pct,0
2026-01-20 21:58:52,whole,0
2026-01-20 21:58:52,1pct,0
2026-01-20 21:58:52,2pct,0
2026-01-20 21:58:57,whole,0
2026-01-20 21:58:57,1pct,0
2026-01-20 21:58:57,2pct,0
2026-01-20 21:59:03,whole,0
2026-01-20 21:59:03,1pct,0
2026-01-20 21:59:03,2pct,0
2026-01-20 21:59:08,whole,0
2026-01-20 21:59:08,1pct,0
2026-01-20 21:59:08,2pct,0
2026-01-20 21:59:13,whole,0
2026-01-20 21:59:13,1pct,0
2026-01-20 21:59:13,2pct,0
2026-01-20 21:59:18,whole,0
2026-01-20 21:59:18,1pct,0
2026-01-20 21:59:18,2pct,0
2026-01-20 21:59:23,whole,0
2026-01-20 21:59:23,1pct,0
2026-01-20 21:59:23,2pct,0
2026-01-20 21:59:28,whole,0
2026-01-20 21:59:28,1pct,0
2026-01-20 21:59:28,2pct,0
2026-01-20 21:59:33,whole,0
2026-01-20 21:59:33,1pct,0
2026-01-20 21:59:33,2pct,0
2026-01-20 21:59:38,whole,0
2026-01-20 21:59:38,1pct,0
2026-01-20 21:59:38,2pct,0
2026-01-20 21:59:43,whole,0
2026-01-20 21:59:43,1pct,0
2026-01-20 21:59:43,2pct,0
2026-01-20 21:59:48,whole,0
